Nom,Marque,Nutriscore,Category_Label,Energie,Sucre,Gras,Saturés,Sel,Fibres,Protéines,Fruits et Légumes
Flageolets verts extra fins 4/4,"Marque Repère, Notre Jardin",A,Légumineuses,88.0,0.5,0.6,0.1,0.58,6.1,5.5,85.334250659328
Cacahuètes grillées sans sel ajouté.,Carrefour,A,Légumineuses,622.0,5.0,51.0,6.1,0.04,8.6,27.0,95.5
Baked Beans In Tomato Sauce,Essential Waitrose,A,Légumineuses,85.2,3.81,0.476,0.0952,0.505,4.0,7.81,94.7625411184211
Tesco No Added Sugar or Salt Swiss Style Muesli,Tesco,A,Céréales,362.0,13.3,4.2,0.8,0.03,8.5,10.5,19.25
Five Bean Salad,Napolina,A,Légumineuses,124.0,2.1,0.9,0.0,0.725,6.2,7.1,94.0775375024352
Wholegrain Malties,Sainsbury's,A,Céréales,360.0,10.7,1.67,0.333,0.425,11.0,11.3,0.0
Wholegrain Bran Flakes,By sainsbury's,A,Céréales,347.0,8.1,2.6,0.9,0.54,15.7,12.2,0.0
Flageolets préparés 1/2,Cassegrain,A,Légumineuses,98.0,0.5,0.8,0.1,0.81,6.2,6.5,97.8731413514022
Black beans in water,Sainsburys,A,Légumineuses,106.0,0.5,0.8,0.2,0.02,7.7,7.1,80.0
Organic Porridge Oats,Flahavan's,A,Céréales,370.0,1.0,5.75,1.0,0.025,8.25,11.3,0.0
Red Kidney Beans in Water imp,Napolina,A,Légumineuses,109.0,0.0,0.5,0.0,0.05,6.2,6.9,60.0
Flourless Sprouted Grain Bread,Food for Life,A,Légumineuses,235.0,1.47,1.47,0.0,0.551,8.82,11.8,2.13068181818182
Weetabix 72S 1362G,Weetabix,A,Céréales,363.0,4.27,2.13,0.533,0.267,10.1,12.0,0.0
Dorset cereals nutty muesli,Dorset cereals,A,Céréales,415.0,8.4,14.3,2.0,0.03,8.1,13.2,52.8984375
Chickpeas in Water,Four Seasons,A,Légumineuses,148.0,0.7,3.0,0.3,0.0,7.1,8.4,80.0
Wholewheat biscuits,By Sainsbury's,A,Céréales,358.0,4.4,2.0,0.6,0.28,10.0,12.0,0.0
Red Kidney Beans in water,The growers harvest,A,Légumineuses,130.4,0.7,0.8,0.2,0.012,9.6,7.7,80.0
Muesli aux fruits,Bjorg,A,Céréales,358.0,10.0,6.0,2.5,0.02,10.0,11.0,19.5
Porridge Oats,Tesco - The Grower's Harvest,A,Céréales,376.0,1.5,8.1,1.6,0.01,8.5,11.0,0.0
bio organic oat flakes,Crownfield,A,Céréales,364.0,1.2,6.9,1.0,0.01,12.3,14.2,0.0
Pois Chiches Très peu de jus 1/2,Bonduelle,A,Légumineuses,119.0,0.5,2.2,0.2,0.6,7.7,6.0,85.5180309101317
Multigrain Alpha Bites,Bear,A,Céréales,380.0,11.0,2.7,0.5,0.02,7.0,9.3,0.0
Unsalted Roasted Nuts,KP,A,Légumineuses,619.0,5.2,51.0,8.1,0.03,8.7,30.0,75.0
Muesli Protéines,bjorg,A,Céréales,382.0,11.0,12.0,1.9,0.03,13.0,21.0,14.486921529175
Muesli pépites croustillantes chocolat-noissette réduit en sucre,"Marque Repère, Grainéa",A,Céréales,432.0,9.3,16.0,2.9,0.07,12.0,10.0,4.0
Tomato lentils,Lidl,A,Légumineuses,114.0,2.9,2.7,0.4,0.628,5.6,8.5,92.3197659793084
Red Kidney Beans In Water,Tesco,A,Légumineuses,111.0,0.7,0.8,0.2,0.01,9.6,7.7,66.6666666666667
Red Kidney Beans in water,Sainsbury's,A,Légumineuses,105.0,0.5,0.6,0.1,0.03,7.8,8.1,66.6666666666667
Jumbo Rolled Oats,Quaker,A,Céréales,375.0,1.0,8.0,1.5,0.0,9.0,11.0,0.0
Kichererbsen,"Freshona, Freshona - Lidl",A,Légumineuses,125.0,0.01,2.7,0.4,0.5,5.1,6.7,85.5507868383405
Black Beans in Water,Four Seasons,A,Légumineuses,106.0,0.5,0.8,0.2,0.02,7.7,7.1,80.0
Haricots Verts extra-fins 4/4,Cassegrain,A,Légumineuses,20.0,1.3,0.1,0.1,0.79,2.4,1.4,99.094981259713
Haricots rouges Très peu de jus 1/2,Bonduelle,A,Légumineuses,108.0,0.8,0.6,0.1,0.22,8.0,7.7,85.5704313994736
Cacahuètes non salées,"Marque Repère, Tokapi",A,Légumineuses,621.0,5.6,51.0,6.1,0.1,7.1,27.0,96.0
Organic chickpeas in water,Tesco,A,Légumineuses,115.0,0.4,2.2,0.3,0.1,6.9,6.7,100.0
No Added Sugar Muesli imp,"Alpen, Weetabix",A,Céréales,369.0,16.0,5.8,0.405,0.275,8.3,12.0,17.5
Red Kidney Beans,Four Seasons,A,Légumineuses,93.0,0.7,0.5,0.1,0.01,7.2,6.8,62.5
Jemné ovesné vločky,"Crownfield,Lidl",A,Céréales,372.0,0.7,5.7,1.0,0.0,8.5,14.0,0.0
Haricots rouges,Carrefour,A,Légumineuses,104.0,1.2,0.7,0.1,0.37,7.9,8.4,85.0772855254841
Lentilles vertes,Golden Sun,A,Légumineuses,327.0,1.1,1.8,0.2,0.0,16.4,25.1,75.0
Wheat Biscuits malty & crispy,Tesco,A,Céréales,358.0,4.4,2.0,0.6,0.3,10.0,12.0,0.0
Mixed Beans,Lidl,A,Légumineuses,103.0,0.5,1.1,0.1,0.03,6.9,7.3,81.8181818181818
Low Sugar Granola Original,Crownfield,A,Céréales,521.0,3.0,23.7,3.3,0.03,7.6,13.7,23.625
Mixed Bean Salad in Vinaigrette,Tesco,A,Légumineuses,104.0,4.8,0.9,0.2,0.4,8.2,6.3,91.0072895957588
Façon Chili,Céréal Bio,A,Légumineuses,111.0,2.3,3.5,0.4,0.66,6.9,7.6,36.5807638888889
Petits Pois & Carottes,Cassegrain,A,Légumineuses,59.0,3.8,0.7,0.0,0.77,4.2,3.6,95.4170883330924
Flocons d'avoine,Bjorg,A,Céréales,363.333333333333,0.0,8.0,1.0,0.0833333333333333,11.0,10.8333333333333,0.0
Cannelloni beans,Napolina,A,Légumineuses,108.0,0.0,0.4,0.0,0.05,8.0,7.0,0.0
Red Kidney Beans in Water,"Freshona, Lidl",A,Légumineuses,93.0,0.4,0.6,0.1,0.03,6.9,7.2,80.0
Organic black beans,Biona Organic,A,Légumineuses,72.0,0.1,0.6,0.1,0.01,6.9,5.3,75.0
Pois chiches,Carrefour,A,Légumineuses,123.0,0.5,2.1,0.3,0.41,6.1,6.9,85.4459018271379
Baked Beans in Tomato Sauce,"Sainsbury's,Hubbard's Foodstore",A,Légumineuses,80.0,3.5,0.5,0.1,0.525,3.6,4.2,92.1956295525494
Taste of Gorgeous Green,Lidl,A,Légumineuses,99.0,1.2,1.7,0.3,0.4,4.5,6.1,97.6428571428571
shredded wheat,Nestlé,A,Céréales,367.0,0.7,2.2,0.5,0.05,12.5,11.8,0.0
Muesli Bio Superfruits,Jordans,A,Céréales,360.0,10.2,5.5,1.0,0.03,9.4,11.2,18.0
Petits Pois et Carottes 1/2,Cassegrain,A,Légumineuses,59.0,3.8,0.7,0.0,0.77,4.2,3.6,95.4170883330924
Cannellini Beans,Sainsburys,A,Légumineuses,88.1,0.426,0.596,0.0851,0.0255,6.38,7.49,76.9230769230769
Butter beans in water,Sainsbury's,A,Légumineuses,108.0,0.5,0.7,0.1,0.03,7.3,6.9,76.9230769230769
